entropy,max_prob,accepted
0.00031500434852205217,1.0,1
4.032421566080302e-05,1.0,1
0.006762104108929634,0.9990234375,1
0.692707896232605,0.51953125,0
0.020284222438931465,0.9970703125,1
0.9787190556526184,0.79541015625,1
1.1297703981399536,0.73583984375,0
0.6050474643707275,0.8720703125,0
0.22899773716926575,0.94921875,1
0.7751474976539612,0.82080078125,1
0.17570216953754425,0.96826171875,1
0.07862353324890137,0.98876953125,1
0.9042770266532898,0.783203125,1
0.8703312277793884,0.71142578125,0
0.49729275703430176,0.8994140625,1
0.6653185486793518,0.70947265625,1
0.5001941919326782,0.8779296875,1
0.6968433260917664,0.794921875,0
1.587681531906128,0.425048828125,1
0.026037707924842834,0.99658203125,1
0.0033822169061750174,0.99951171875,1
0.032462045550346375,0.99560546875,1
0.007092841435223818,0.9990234375,1
0.007270039524883032,0.9990234375,1
1.3437899351119995,0.49853515625,0
1.6762840747833252,0.61328125,1
0.6514231562614441,0.875,1
1.654534101486206,0.390380859375,1
0.7828630208969116,0.83154296875,1
0.565512478351593,0.85009765625,0
0.029472405090928078,0.99609375,1
1.449352741241455,0.59130859375,0
0.8305834531784058,0.6474609375,1
0.1951378881931305,0.96337890625,1
1.271284818649292,0.390625,0
1.0136725902557373,0.5302734375,1
0.5354627370834351,0.84814453125,1
0.698364794254303,0.66015625,1
0.0034285811707377434,0.99951171875,1
0.00036853752681054175,1.0,1
1.589652419090271,0.46630859375,0
1.0680562257766724,0.74169921875,1
0.0003985314688179642,1.0,1
0.006771058309823275,0.9990234375,1
2.451305866241455,0.28955078125,0
1.2916408777236938,0.40625,0
0.21026377379894257,0.96240234375,1
0.964904248714447,0.58056640625,1
0.536051869392395,0.8564453125,0
0.034419648349285126,0.99609375,1
0.015761908143758774,0.998046875,1
0.0014757178723812103,1.0,1
0.026123372837901115,0.99609375,1
0.0001856079907156527,1.0,1
0.030278388410806656,0.99609375,1
0.577686607837677,0.78662109375,1
0.0002084457519231364,1.0,1
0.8896331787109375,0.703125,1
3.2432712032459676e-05,1.0,1
5.46948012924986e-06,1.0,1
4.340022087097168,0.10418701171875,0
0.9546046257019043,0.8076171875,0
1.351842999458313,0.580078125,1
0.8716599941253662,0.51171875,1
0.031192753463983536,0.99560546875,1
0.15815670788288116,0.96484375,1
0.011598543263971806,0.9990234375,1
0.20232892036437988,0.9638671875,1
0.037636447697877884,0.9951171875,1
0.20279845595359802,0.96630859375,1
0.9891276955604553,0.7265625,1
1.0032811164855957,0.78857421875,0
0.033585645258426666,0.99658203125,1
2.985856056213379,0.24462890625,1
2.114680290222168,0.297607421875,0
1.4294350147247314,0.66552734375,1
2.2412261962890625,0.4169921875,0
0.6863824725151062,0.857421875,1
0.022144615650177002,0.99755859375,1
2.290276527404785,0.420166015625,0
0.5478158593177795,0.91845703125,1
1.239726185798645,0.483154296875,1
1.3380848169326782,0.65576171875,0
0.12422756850719452,0.97998046875,1
0.006917718797922134,0.99951171875,1
0.03883735090494156,0.9951171875,1
0.6956707239151001,0.74609375,0
0.005157270468771458,0.99951171875,1
